City,Year
Burlington,1983
Burlington,1983
Burlington,1983
Burlington,1984
Burlington,1984
Burlington,1984
Burlington,1985
Burlington,1985
Burlington,1985
Burlington,1985
Burlington,1985
Burlington,1985
Burlington,1985
Burlington,1985
Burlington,1985
Burlington,1985
Burlington,1985
Burlington,1985
Burlington,1985
Burlington,1985
Burlington,1985
Burlington,1985
Burlington,1985
Burlington,1985
Burlington,1985
Burlington,1985
Burlington,1985
Burlington,1985
Burlington,1985
Burlington,1985
Burlington,1985
Burlington,1985
Burlington,1985
Burlington,1986
Burlington,1986
Burlington,1986
Burlington,1986
Burlington,1986
Burlington,1986
Burlington,1986
Burlington,1986
Burlington,1986
Burlington,1986
Burlington,1986
Burlington,1986
Burlington,1986
Burlington,1987
Burlington,1987
Burlington,1987
Burlington,1987
Burlington,1987
Burlington,1987
Burlington,1987
Burlington,1987
Burlington,1987
Burlington,1987
Burlington,1987
Burlington,1987
Burlington,1987
Burlington,1987
Burlington,1987
Burlington,1987
Burlington,1987
Burlington,1987
Burlington,1987
Burlington,1987
Burlington,1987
Burlington,1987
Burlington,1987
Burlington,1987
Burlington,1987
Burlington,1987
Burlington,1987
Burlington,1987
Burlington,1987
Burlington,1987
Burlington,1988
Burlington,1988
Burlington,1988
Burlington,1988
Burlington,1988
Burlington,1988
Burlington,1988
NYC,1988
Burlington,1988
Burlington,1988
Burlington,1988
Burlington,1988
Burlington,1988
NYC,1988
Burlington,1988
Burlington,1988
Burlington,1988
Burlington,1988
Burlington,1988
Burlington,1988
Burlington,1988
Burlington,1988
Burlington,1988
NYC,1988
Burlington,1988
Burlington,1988
Burlington,1988
Burlington,1988
Burlington,1988
Burlington,1988
Burlington,1988
Burlington,1988
Burlington,1988
Burlington,1988
Burlington,1988
Burlington,1988
Burlington,1988
Burlington,1988
Burlington,1988
Burlington,1988
Burlington,1988
Burlington,1988
Burlington,1988
Burlington,1988
Burlington,1988
Burlington,1988
Burlington,1988
Burlington,1988
Burlington,1988
Burlington,1989
Burlington,1989
Burlington,1989
Burlington,1989
Burlington,1989
Burlington,1989
Burlington,1989
NYC,1989
Burlington,1989
Burlington,1989
Burlington,1989
Burlington,1989
Burlington,1989
Burlington,1989
Burlington,1989
Burlington,1989
Burlington,1989
Burlington,1989
Burlington,1989
Burlington,1989
NYC,1989
Burlington,1989
Burlington,1989
Burlington,1989
Burlington,1989
NYC,1989
Burlington,1989
Burlington,1989
Burlington,1989
Burlington,1989
Burlington,1989
Burlington,1989
Burlington,1989
NYC,1989
Burlington,1989
Burlington,1989
Burlington,1989
NYC,1989
Burlington,1989
NYC,1989
Burlington,1990
Burlington,1990
NYC,1990
Burlington,1990
Burlington,1990
Burlington,1990
Burlington,1990
Burlington,1990
NYC,1990
NYC,1990
Burlington,1990
Burlington,1990
Burlington,1990
Burlington,1990
Burlington,1990
NYC,1990
Burlington,1991
Burlington,1991
NYC,1991
Burlington,1991
Burlington,1991
Burlington,1991
NYC,1991
Burlington,1991
NYC,1991
NYC,1991
Burlington,1992
NYC,1992
NYC,1992
Burlington,1992
NYC,1992
NYC,1993
NYC,1993
Burlington,1994
NYC,1994
NYC,1994
NYC,1994
NYC,1994
NYC,1994
NYC,1994
Burlington,1995
NYC,1995
NYC,1995
NYC,1995
NYC,1996
NYC,1996
NYC,1997
Burlington,1997
NYC,1997
NYC,1997
NYC,1997
NYC,1997
NYC,1998
NYC,1998
NYC,1998
NYC,1998
NYC,1998
NYC,1998
Burlington,1999
NYC,2000
NYC,2000
NYC,2000
NYC,2000
NYC,2000
NYC,2002
NYC,2002
NYC,2002
Burlington,2004
NYC,2004
NYC,2008
NYC,2009
NYC,2009
NYC,2009
NYC,2010
NYC,2010
NYC,2010
NYC,2010
NYC,2011
NYC,2011
NYC,2011
NYC,2011
NYC,2011
NYC,2012
NYC,2012
NYC,2012
NYC,2012
NYC,2013
NYC,2013
NYC,2013
NYC,2013
NYC,2014
NYC,2014
NYC,2014
NYC,2014
NYC,2014
NYC,2014
